Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Sep,1977,0,125.74,118.5,176,127.61,120.2,135,170.6,169.3,326.82
Oct,1977,0,37.43,58,42,38.06,40.3,42.9,55.2,51.6,652.97
Nov,1977,0,2.16,9,4,2.19,2,2.3,2,3,255.36
Dic,1977,0,18.32,19,21,18.68,15.5,17.4,24.7,31.9,200.19
Ene,1978,0,0,17,0,0,0,0,0,0,186.9
Feb,1978,0,12.3,14,12,12.56,15.6,19,11.7,23.6,136.29
Mar,1978,0,25.73,26,24,26.17,38.5,41.9,32.8,34.9,129.13
Abr,1978,55.5,66.56,70.62,63.5,66.79,67.3,82.8,75.7,71.2,109.95
May,1978,0,42.52,49.21,45.87,43.69,71.8,49,51,49.5,161.61
Jun,1978,0,21.21,24.1,22.41,21.83,24.5,21.2,24.8,37.5,240.33
Jul,1978,0,48.83,56.49,52.69,50.29,61.5,55.7,69.1,67.4,436.52
Ago,1978,59.5,57.32,54.47,55.28,56.93,39,47.9,82.3,46.4,261.53
Sep,1978,0,128.97,151.02,140.27,133.24,158.4,150.8,155.5,212.6,236
Oct,1978,0,30.09,36.11,33.56,31.19,36.2,39.8,41.1,45,220.92
Nov,1978,0,11.4,13.49,12.42,11.8,18.5,13.2,5.7,23,171.99
Dic,1978,0,7.19,8.82,8.17,7.47,10,10.3,8.3,11,160.71
Ene,1979,0,0.35,0.39,0.35,0.36,0,0.2,0,1.5,180.05
Feb,1979,1,2.66,3,2.86,2.72,3.7,3.3,3.4,2.6,194.25
Mar,1979,0,0,0,0,0,0,0,0,0,234.31
Abr,1979,83,92.72,89.91,154.5,92.45,76.6,70.3,59.3,92.9,244.15
May,1979,22,37.07,42.07,21,37.45,51.8,55.9,45.8,45.5,220.09
Jun,1979,94.2,74.32,70.38,117,73.62,67.8,63,33.2,59.9,309.66
Jul,1979,90.5,53.63,53.89,60,53.03,37,74.6,29.5,50.3,304.48
Ago,1979,102,104.25,102.15,185,103.65,83.1,90.7,62.2,91,217.32
Sep,1979,48,67.58,74.62,106,67.81,29,93.9,70.4,86.9,186.9
Oct,1979,0,11.13,9.93,41,10.99,9.04,0.3,4,0,112.74
Nov,1979,6,3.69,3.49,0,3.68,6.9,3.59,0,5.7,141.66
Dic,1979,118,141.74,145.62,133,142.41,150.6,145.88,129.4,182,445.48
Ene,1980,17,12.07,11.5,10,12.01,10.7,11.52,10,12.5,446.39
Feb,1980,22,13.49,12.44,8,13.38,14.3,12.55,10.7,12,363.33
Mar,1980,0,1.15,1.62,0,0,2.7,1.66,0,4.5,349.2
Abr,1980,4,7.36,7.22,13,10,9.3,7.11,2.9,5.4,249.99
May,1980,71.5,40.23,41.06,47,17.5,41.7,40.92,33.4,27.5,193.91
Jun,1980,0,5.8,4.18,0,17,3.4,4.26,6.2,9,183.76
Jul,1980,27,19.83,19.52,17.8,16,37.5,19.73,14.4,5.1,164.58
Ago,1980,93,87.58,89.48,31,82,83.7,90.65,86.4,152.6,129.95
Sep,1980,83.5,93.87,86.8,85,134.5,86.5,86.8,76,100.9,117.57
oct,1980,92,71.5,52.13,35,74.5,65.5,52.62,47.8,40.6,109.64
nov,1980,11,10.6,11.17,9,14.5,11.8,11.22,12,11.9,131.35
Dic,1980,25,23.1,20.74,25,17,17.5,20.61,18.3,20.1,284.83
Ene,1981,60.5,60.4,63.87,61,59,60.3,63.89,64.9,70.7,288.08
Feb,1981,7,26.6,15.94,34,18.5,10.5,15.5,15.2,8.9,195.26
Mar,1981,4,9.6,3.01,5,0,3.1,2.96,1.7,1.8,216.94
Abr,1981,92,56,26.28,25,14,21.7,26.22,11.4,14.7,168.55
May,1981,99,126,77.51,79,65,58.1,77.31,86.2,76.1,120.49
Jun,1981,263,127,160.08,104,213.5,191.7,161.53,139,154.1,115.85
